,ticker,name,sector,industry,price,market_cap_bn,fcf_yield_pct,forward_pe,trailing_pe,ps_ratio,roe_pct,roce_pct,gross_margin_pct,op_margin_pct,rev_growth_pct,debt_equity,above_200d,tier1_passes,multibagger_score,alpha_score,orig_score,composite_score
1,FLYW,Flywire Corporation - Voting,Technology,Software - Infrastructure,13.61,1.662147584,7.069152771454499,11.363731,123.72727,2.6678665,1.636,1.0880001,61.419999999999995,-1.043,34.0,0.004565709731102979,True,4,65.6,87.7,86.5,78.5
2,CRDO,Credo Technology Group Holding ,Technology,Semiconductors,160.69,29.63926016,0.5811248967423619,34.12721,88.29121,27.748531,27.544,14.680000000000001,67.825997,36.760999999999996,201.5,0.00879296192409951,True,2,52.8,100.0,85.6,76.8
3,NRDS,"NerdWallet, Inc.",Communication Services,Internet Content & Information,10.95,0.731304512,12.043546642304868,5.307521,17.109375,0.8741388,13.184999999999999,9.069,92.386,8.607,22.6,0.08315102410284164,False,4,63.6,65.6,94.3,73.4
4,SOFI,"SoFi Technologies, Inc.",Financial Services,Credit Services,19.43,24.778377216,0.0,24.629543,49.820515,6.915472,5.6579999999999995,1.1080001000000002,83.002996,18.176001,40.2,0.1841817484133933,False,2,37.8,100.0,89.1,71.8
5,PAC,Grupo Aeroportuario Del Pacific,Industrials,Airports & Air Services,251.2,12.692569088,75.83744268999484,19.352852,22.87796,0.39022952,40.441,12.942,77.057,51.805,187.0,6111.097088425134,True,2,52.8,62.6,100.0,69.9
6,PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,146.39,350.11739648,0.3601416018389787,78.5995,232.36508,78.23073,25.983,11.597,82.366997,40.901002,70.0,0.03239990929319716,False,2,47.8,86.9,80.4,69.3
7,MGNI,"Magnite, Inc.",Communication Services,Advertising Agencies,13.71,1.979235456,6.04252877733411,11.320194,14.43158,2.7722208,17.108,2.0299999,62.656,25.384,5.8999999999999995,0.6724649479910635,False,2,47.8,76.2,81.9,66.6
8,DINO,HF Sinclair Corporation,Energy,Oil & Gas Refining & Marketing,57.15,10.30262784,10.014435462710065,10.539808,18.555195,0.38343918,6.303,3.4649998,8.564,-0.014999999,-0.6,0.36519695044104356,True,2,37.8,100.0,69.4,65.9
9,AFRM,"Affirm Holdings, Inc.",Financial Services,Credit Services,64.5,21.485637632,2.1291188087370605,17.178196,79.62963,5.782069,8.917,1.232,47.776999999999994,10.474,29.599999999999998,2.9409571822359606,False,1,21.4,100.0,87.4,64.8
10,EXAS,Exact Sciences Corporation,Healthcare,Diagnostics & Research,104.91,20.026083328,1.4075069367453297,55.215794,,6.167584,-8.659001,-1.592,69.69,-9.279,23.1,1.055238209610771,True,1,31.4,100.0,66.8,62.6
