ticker,shares,cost_basis,weight
RDGT,5325.1121,2.23,0.011875
LSTA,3676.4706,3.23,0.011875
REPL,5472.3502,2.17,0.011875
LNKS,5709.1346,2.08,0.011875
BMI,102.7783,115.54,0.011875
HKIT,11757.4257,1.01,0.011875
PHGE,6453.8043,1.84,0.011875
TRUG,5301.3393,2.24,0.011875
LGCB,9978.9916,1.19,0.011875
NPT,2998.7374,3.96,0.011875
ANNA,3262.3626,3.64,0.011875
VMAR,7916.6667,1.5,0.011875
IIIN,452.8986,26.22,0.011875
PEPG,6985.2941,1.7,0.011875
FNGD,251.5357,47.21,0.011875
MIND,1878.9557,6.32,0.011875
FCUV,6283.0688,1.89,0.011875
FBLG,7761.4379,1.53,0.011875
LPCN,4886.8313,2.43,0.011875
JDZG,10063.5593,1.18,0.011875
ARTL,2674.5495,4.44,0.011875
LCID,1626.7123,7.3,0.011875
CDT,3432.0809,3.46,0.011875
NRT,1546.224,7.68,0.011875
PDS,142.0624,83.59,0.011875
BATL,3880.719,3.06,0.011875
DXST,5096.5665,2.33,0.011875
BTU,462.963,25.65,0.011875
ATLN,5792.6829,2.05,0.011875
DK,318.9632,37.23,0.011875
VG,1036.2129,11.46,0.011875
TRAW,9500.0,1.25,0.011875
GRNT,2398.9899,4.95,0.011875
OIS,1161.9374,10.22,0.011875
EGY,2232.1429,5.32,0.011875
PBF,319.564,37.16,0.011875
CNQ,276.1628,43.0,0.011875
MDXG,3472.2222,3.42,0.011875
NOG,483.7067,24.55,0.011875
HPK,2221.7025,5.345,0.011875
VET,1034.4077,11.48,0.011875
QDEL,934.3037,12.71,0.011875
SMX,2394.1532,4.96,0.011875
SKK,6121.134,1.94,0.011875
KIDZ,6985.2941,1.7,0.011875
EQNR,334.79,35.47,0.011875
SM,457.2584,25.97,0.011875
VAL,134.0899,88.56,0.011875
PAGP,523.3583,22.69,0.011875
SUNE,8246.5278,1.44,0.011875
NFG,135.6988,87.51,0.011875
PBA,279.5433,42.48,0.011875
IPI,337.4538,35.19,0.011875
IMO,97.384,121.94,0.011875
VRDN,802.3649,14.8,0.011875
AMPY,2244.8015,5.29,0.011875
LNG,47.2976,251.07,0.011875
TALO,879.6296,13.5,0.011875
EMO,245.1486,48.44,0.011875
PAVS,7196.9697,1.65,0.011875
VXX,409.7654,28.98,0.011875
TGS,388.1988,30.59,0.011875
PTEN,1260.6157,9.42,0.011875
OVV,224.8627,52.81,0.011875
KYN,898.2602,13.22,0.011875
SU,194.1629,61.16,0.011875
ESPR,5821.0784,2.04,0.011875
CNR,138.1296,85.97,0.011875
PROP,9576.6129,1.24,0.011875
SEDG,310.0522,38.3,0.011875
PMAX,4693.6759,2.53,0.011875
IMAX,338.4155,35.09,0.011875
CHRD,96.0916,123.58,0.011875
CRK,704.3298,16.86,0.011875
NTR,168.1535,70.62,0.011875
REI,9500.0,1.25,0.011875
UGRO,1049.0283,11.32,0.011875
AMTX,5231.2775,2.27,0.011875
EPM,2875.3027,4.13,0.011875
SPH,629.3058,18.87,0.011875
