ticker,shares,cost_basis,weight,bucket,stat_arb_score,rsi,mean_reversion_pct,bb_position,vol_ratio,mom_1m_pct,mom_3m_pct
RDGT,5325.1121,2.23,0.011875,BETA,1.65538,24.4,-95.91,0.4138,0.672,-99.28,-99.37
LSTA,3676.4706,3.23,0.011875,BETA,1.48692,1.1,-32.21,-0.1893,2.707,-35.53,48.17
REPL,5472.3502,2.17,0.011875,BETA,1.41618,22.0,-63.0,0.117,5.622,-67.9,-70.27
LNKS,5709.1346,2.08,0.011875,BETA,1.39892,30.3,-84.05,0.4279,0.551,-98.57,-97.54
BMI,102.7783,115.54,0.011875,BETA,1.36216,28.8,-23.83,-0.4652,2.548,-21.87,-32.08
HKIT,11757.4257,1.01,0.011875,BETA,1.35318,28.1,-79.67,0.4232,0.325,-98.18,-99.1
PHGE,6453.8043,1.84,0.011875,BETA,1.22952,13.0,-46.84,0.1254,3.385,-63.49,-29.5
TRUG,5301.3393,2.24,0.011875,BETA,1.19653,19.9,-46.32,0.0138,0.974,-62.91,-73.46
LGCB,9978.9916,1.19,0.011875,BETA,1.06894,9.0,-16.37,-0.1466,2.011,-17.93,-29.17
NPT,2998.7374,3.96,0.011875,BETA,1.03021,46.2,-48.24,0.1169,3.956,-50.81,-37.74
ANNA,3262.3626,3.64,0.011875,BETA,1.00879,25.8,-44.4,0.0888,0.414,-0.55,40.54
VMAR,7916.6667,1.5,0.011875,BETA,0.95452,26.9,-23.46,-0.1106,2.624,-34.78,-70.41
IIIN,452.8986,26.22,0.011875,BETA,0.94623,30.6,-22.0,-0.163,2.463,-17.55,-18.49
PEPG,6985.2941,1.7,0.011875,BETA,0.93062,7.0,-37.99,0.3219,1.087,-66.8,-65.93
FNGD,251.5357,47.21,0.011875,BETA,0.92955,7.8,-27.56,0.1015,0.732,-27.48,-14.47
MIND,1878.9557,6.32,0.011875,BETA,0.91696,32.4,-23.35,-0.1343,2.558,-25.21,-42.55
FCUV,6283.0688,1.89,0.011875,BETA,0.91664,37.6,-44.59,0.0807,0.157,-58.91,-72.88
FBLG,7761.4379,1.53,0.011875,BETA,0.89278,10.2,-38.11,0.3531,0.748,-70.69,-77.37
LPCN,4886.8313,2.43,0.011875,BETA,0.86689,27.0,-48.02,0.2979,1.2,-66.71,-78.42
JDZG,10063.5593,1.18,0.011875,BETA,0.8551,31.8,-29.43,0.0434,4.888,-49.79,-96.19
ARTL,2674.5495,4.44,0.011875,BETA,0.84207,11.8,-31.73,0.1925,0.054,-39.26,-10.84
LCID,1626.7123,7.3,0.011875,BETA,0.83205,29.2,-20.87,-0.0466,3.267,-26.63,-27.36
CDT,3432.0809,3.46,0.011875,BETA,0.83131,33.2,-48.12,0.2494,2.205,-72.76,-89.75
NRT,1546.224,7.68,0.011875,BETA,0.82843,33.5,-14.34,-0.2308,1.165,-14.29,-7.5
PDS,142.0624,83.59,0.011875,BETA,0.82293,13.5,-12.14,-0.0696,0.797,-13.04,12.4
BATL,3880.719,3.06,0.011875,BETA,0.81475,20.9,-40.83,0.3056,0.485,-74.35,146.77
DXST,5096.5665,2.33,0.011875,BETA,0.79148,18.7,-24.59,0.073,0.015,-41.75,-93.79
BTU,462.963,25.65,0.011875,BETA,0.78329,10.4,-20.89,0.1105,0.922,-29.26,-28.71
ATLN,5792.6829,2.05,0.011875,BETA,0.78147,30.4,-33.02,0.0831,0.991,-54.44,-11.26
DK,318.9632,37.23,0.011875,BETA,0.76945,23.8,-14.17,-0.0955,0.816,-18.01,29.2
VG,1036.2129,11.46,0.011875,BETA,0.76725,18.9,-22.35,0.0615,0.829,-22.83,44.17
TRAW,9500.0,1.25,0.011875,BETA,0.7446,28.2,-26.1,0.1241,3.948,-38.12,-27.33
GRNT,2398.9899,4.95,0.011875,BETA,0.73457,27.2,-11.87,-0.1294,0.835,-6.43,10.71
OIS,1161.9374,10.22,0.011875,BETA,0.71153,22.7,-11.2,-0.076,0.593,-14.33,24.79
EGY,2232.1429,5.32,0.011875,BETA,0.70702,23.1,-12.0,-0.0656,0.992,-5.51,22.15
PBF,319.564,37.16,0.011875,BETA,0.70491,20.2,-17.7,0.0395,0.828,-21.09,20.08
CNQ,276.1628,43.0,0.011875,BETA,0.69647,27.7,-9.48,-0.1347,0.859,-11.63,27.25
MDXG,3472.2222,3.42,0.011875,BETA,0.68984,32.4,-12.53,-0.1171,1.585,-19.34,-40.52
NOG,483.7067,24.55,0.011875,BETA,0.67164,22.9,-12.19,-0.032,0.953,-10.03,10.43
HPK,2221.7025,5.345,0.011875,BETA,0.6694,30.5,-18.15,-0.0228,0.915,-22.2,13.24
VET,1034.4077,11.48,0.011875,BETA,0.65898,31.2,-12.26,-0.0992,0.589,-8.96,35.71
QDEL,934.3037,12.71,0.011875,BETA,0.65176,43.1,-18.09,-0.011,2.474,-25.37,-64.08
SMX,2394.1532,4.96,0.011875,BETA,0.65139,39.6,-34.06,0.1614,0.982,-42.19,-95.76
SKK,6121.134,1.94,0.011875,BETA,0.64843,39.6,-19.61,0.0544,6.401,-24.22,-43.27
KIDZ,6985.2941,1.7,0.011875,BETA,0.63585,41.4,-32.2,0.1495,0.981,-37.27,-83.33
EQNR,334.79,35.47,0.011875,BETA,0.63455,30.3,-11.25,-0.0837,0.93,-7.94,45.52
SM,457.2584,25.97,0.011875,BETA,0.63023,24.6,-12.7,-0.0072,0.703,-4.77,42.81
VAL,134.0899,88.56,0.011875,BETA,0.62875,27.8,-8.69,-0.0891,0.609,-4.3,61.84
PAGP,523.3583,22.69,0.011875,BETA,0.62808,23.7,-4.65,-0.1041,0.915,-2.74,14.8
SUNE,8246.5278,1.44,0.011875,BETA,0.62567,24.9,-28.73,0.2082,0.05,0.0,35.85
NFG,135.6988,87.51,0.011875,BETA,0.61375,23.3,-5.84,-0.0717,0.96,-4.76,8.26
PBA,279.5433,42.48,0.011875,BETA,0.61216,20.7,-4.52,-0.0635,0.49,-2.97,11.72
IPI,337.4538,35.19,0.011875,BETA,0.60766,21.8,-13.41,0.0481,0.807,-12.13,2.18
IMO,97.384,121.94,0.011875,BETA,0.60745,33.0,-5.1,-0.1689,0.657,-2.91,27.33
VRDN,802.3649,14.8,0.011875,BETA,0.5958,16.3,-23.87,0.2988,0.721,-46.63,-55.19
AMPY,2244.8015,5.29,0.011875,BETA,0.5904,24.9,-12.89,0.0261,0.796,-16.03,10.21
